1476,-1396,15672,-2081,1364,-366
1552,-1432,15368,-2035,1402,-330
1624,-1460,15100,-1978,1418,-285
1552,-1416,15056,-1755,1355,-160
1620,-1352,14748,-1261,1155,30
1688,-1344,14656,-608,885,355
1444,-1208,14976,-107,351,718
1188,-1240,15036,339,-260,1019
1160,-1236,15272,760,-686,1152
1000,-1420,15932,975,-1077,1088
1016,-1156,16024,1035,-1075,952
1056,-1244,16516,890,-842,799
1184,-1340,16728,567,-582,571
972,-1412,16956,107,-235,421
972,-1396,17008,-458,23,246
1244,-1328,16792,-942,347,94
1240,-1216,16860,-1363,703,30
1180,-1340,16700,-1729,740,-10
1372,-1404,16356,-1947,702,25
1396,-1700,16076,-1995,776,137
1420,-2064,15916,-1883,677,232
1400,-2048,15692,-1625,634,351
1416,-1980,15540,-1268,905,403
1128,-2032,15568,-1012,1020,528
1040,-2280,15428,-768,962,553
924,-2144,15704,-615,824,556
784,-2260,15472,-475,665,536
828,-2416,15372,-376,500,463
640,-2328,15356,-343,366,422
532,-1992,15348,-351,161,359
684,-1716,15248,-356,-57,364
740,-1720,15144,-238,-101,352
600,-1960,15328,-74,-212,308
516,-1964,15400,162,-445,167
828,-1896,15680,380,-784,22
1092,-1888,16072,527,-929,-28
1284,-1792,16364,541,-810,14
1436,-1516,16644,467,-755,157
1488,-1356,16724,143,-743,308
1664,-1464,16688,-107,-405,487
1432,-1804,16708,-482,-85,770
1412,-1584,16620,-802,-11,977
1240,-1484,16100,-998,48,1093
1148,-1596,16008,-1012,-213,1199
276,-8756,14028,-337,-310,386
2316,-952,14436,-179,682,468
2320,416,13936,617,3150,906
-152,-900,17088,199,1221,1016
588,-1972,15576,210,-1394,1226
1180,-3548,14576,867,-836,860
1308,-2416,15184,1292,74,561
1240,-1408,15700,1463,661,432
928,-1952,16328,1432,347,227
1196,-2264,15888,1380,367,-10
1252,-2380,15948,1372,957,-135
1336,-2032,16156,1210,1372,-172
1328,-1724,16016,1038,1627,-100
1016,-1716,16048,958,1666,21
740,-1652,16212,818,1181,198
740,-1676,16116,602,677,320
1088,-1964,15632,565,769,440
828,-1768,15748,567,964,500
680,-1676,15640,568,887,437
568,-1508,15644,640,634,409
724,-1392,15636,773,481,331
776,-1480,15448,967,609,183
604,-1520,15672,1179,729,20
584,-1676,16160,1369,506,-119
624,-1620,16188,1501,229,-293
624,-1592,16456,1579,58,-482
728,-1596,16588,1537,-169,-649
1056,-1680,16440,1321,-165,-743
1304,-1568,16204,1140,370,-813
1100,-1384,16428,941,627,-706
1056,-1280,16316,702,406,-540
1192,-1248,15968,593,330,-407
1128,-1540,15580,618,484,-202
1020,-1580,15688,674,636,-72
1036,-1680,15676,729,561,-66
976,-1664,15680,900,543,3
1056,-1700,15644,1013,568,-82
924,-1756,16036,1107,502,-79
852,-1616,16044,1146,341,-87
956,-1652,16180,1178,335,-157
1144,-1040,16108,1182,623,-172
768,-844,16700,1003,375,-124
840,-1088,16376,766,-87,-119
1072,-1220,15980,678,309,-51
856,-1020,16272,578,620,-14
772,-1064,16176,421,644,40
796,-1228,16036,393,848,57
704,-1216,16020,355,1036,30
544,-1024,16180,356,829,83
592,-1128,16312,359,467,78
492,-1300,16144,248,314,63
640,-1384,15976,129,368,109
660,-1336,16064,38,508,40
668,-1312,16120,-117,525,-16
552,-1472,16012,-178,358,-80
660,-1392,15852,-168,186,-130
792,-1448,15864,-88,82,-150
756,-1520,15836,-14,-46,-150
868,-1388,15748,101,-41,-154
992,-1436,15832,210,0,-161
1100,-1392,15916,285,72,-183
956,-1508,16008,344,146,-96
832,-1368,15980,372,80,-35
852,-1476,15948,383,-14,40
808,-1468,15988,356,14,139
696,-1248,16084,312,12,191
636,-1168,16000,275,-123,209
784,-1360,16016,237,-77,188
724,-1324,15936,251,67,137
688,-1368,16132,206,246,79
676,-1332,16076,176,507,22
496,-1320,16000,162,601,-47
524,-1412,16060,200,446,-174
588,-1412,15872,258,382,-309
744,-1696,16144,347,501,-438
752,-1508,16144,401,433,-519
956,-1452,15944,417,439,-520
1096,-1396,15888,433,685,-483
1060,-1144,15952,399,719,-355
956,-1248,15948,364,420,-163
960,-1280,15704,425,310,42
920,-1308,15688,460,284,157
916,-1388,15788,588,146,312
724,-1220,15920,686,-94,385
776,-1364,15672,766,-234,393
908,-1248,15940,800,-101,405
708,-1000,15960,815,60,446
544,-996,16088,764,141,436
536,-980,16068,694,134,420
456,-1084,16020,657,203,342
316,-1088,16260,595,386,287
132,-1060,16440,494,337,187
132,-1180,16180,452,97,75
168,-1240,16156,446,-71,-51
268,-1452,16140,517,-208,-214
308,-1456,15836,553,-278,-394
588,-1592,15628,528,-132,-543
808,-1832,15644,711,159,-748
924,-2056,15736,953,380,-811
1044,-1920,15960,1143,208,-729
1496,-1880,15932,1388,240,-549
1864,-2036,15724,1642,680,-356
1544,-2140,16044,1743,1062,-132
1580,-2020,15752,1876,1370,96
1660,-1860,15460,2191,1653,365
1644,-1948,15564,2759,1425,729
1468,-1616,15616,3621,762,1316
1288,-1476,16136,4521,46,1858
992,-1480,16692,5332,-804,2520
652,-1532,17204,6079,-1604,2953
576,-2052,17736,6755,-2052,2999
756,-2592,17916,7499,-965,2825
452,-2716,18800,8049,565,2375
272,-3108,19456,8682,1378,1445
668,-3144,20672,9814,1113,291
1484,-1936,22404,11596,-125,-487
1316,24,27456,14188,-4371,-594
2696,2516,31428,15866,-8175,-651
4308,5652,32767,15449,-8168,-312
3644,9020,32767,12259,-6590,617
3096,11132,32767,6444,-5034,1198
2004,11656,32767,-1568,-2900,1362
1968,10304,32767,-11176,-462,663
3100,8972,32767,-19922,4448,-610
4204,8056,32767,-27279,8877,-2287
5912,7580,32767,-32022,12270,-3901
7592,7736,32767,-32768,14674,-4709
8412,7808,32096,-32768,15632,-4282
8516,7808,29456,-32768,16559,-2740
7324,7976,28088,-31768,17085,-257
5668,8552,25248,-30988,16914,2341
3092,8252,22720,-30112,17020,4035
288,6960,20928,-29390,16425,4328
-2708,5324,19488,-29745,15229,2985
-3920,3500,17112,-30979,14310,592
-4648,3288,15508,-32717,12755,-1826
-3472,2492,12460,-32768,10923,-4105
-1928,996,8940,-32768,9590,-5784
92,-784,5932,-32768,9812,-7230
82
32,-2092,15996,98,653,-201
156,-2116,16048,72,680,-226
108,-2032,15920,57,723,-241
224,-2084,15744,51,812,-260
68,-1956,15816,19,867,-269
